ch1,ch2,ch3,ch4
61.55,72.29,1.68,-17.67
32.58,44.43,3.29,-18.28
-34.12,15.51,8.69,-12.06
-28.11,29.52,6.85,-15.31
-3.65,3.99,7.82,-16.65
-0.43,22.82,5.49,-12.96
-56.75,33.94,6.53,-12.06
-25.59,8.59,10.51,-10.61
-7.41,-15.87,6.82,-12.32
2.07,32.44,10.87,-7.94
-44.93,-5.87,4.38,-12.61
3.33,31.15,3.9,-14.87
-10.68,42.33,8.87,-10.73
-36.57,33.13,8.87,-5.27
13.07,19.58,4.28,-15.93
-20.31,24.8,4.71,-13.26
-26.14,26.61,6.01,-11.61
-56.53,21.64,10.32,-11.31
18.88,41.31,1.51,-19.08
20.36,-10.26,2.5,-17.59
-14.05,19.18,2.8,-12.67
-3.38,25.92,5.83,-16.68
-26.61,19.51,2.74,-15.19
5.63,13.51,2.4,-13.78
-68.08,-15.66,5.96,-13.38
-13.17,46.19,14.89,-9.61
-34.73,-4.37,6.18,-16.0
-20.58,-7.49,5.04,-18.61
45.02,35.96,-5.81,-16.49
-30.01,13.41,8.76,-13.55
-42.74,17.4,8.93,-10.65
2.14,36.79,4.08,-13.05
32.92,77.21,5.15,-9.23
-34.03,-30.52,6.6,-16.72
4.58,5.8,8.83,-17.23
-59.01,-14.9,0.36,-20.35
8.92,21.67,3.34,-19.18
8.55,42.23,4.01,-11.49
-24.15,23.61,7.15,-13.79
-12.13,19.36,3.76,-17.5
-49.48,-11.48,5.48,-14.58
-30.98,7.59,7.37,-14.92
-6.3,53.39,7.4,-13.32
3.09,81.55,5.18,-13.55
-18.2,8.63,4.04,-10.39
-17.85,-34.53,6.97,-12.29
-15.21,-11.12,8.18,-14.21
-14.86,16.25,8.56,-13.07
-21.93,5.86,6.8,-17.26
0.7,28.81,4.98,-15.19
