ch1,ch2,ch3,ch4
-9.98,28.0,34.03,16.87
-44.86,-16.18,33.88,13.12
-35.26,-29.15,31.06,9.28
18.99,16.09,37.92,16.44
-4.95,-9.7,33.93,12.91
-22.88,2.4,36.4,11.8
-9.85,48.6,37.32,14.26
-25.89,10.04,40.62,21.05
-62.24,-51.57,36.91,14.81
5.39,25.63,36.36,15.53
-46.08,0.44,37.51,13.02
-5.09,10.91,32.94,12.14
-10.77,21.4,40.78,17.91
2.54,15.56,34.43,7.62
-36.75,17.44,33.39,9.7
12.34,24.97,41.51,9.83
-46.78,-7.28,42.14,13.08
-1.58,25.81,37.85,12.41
-17.69,8.56,32.5,11.43
-25.48,-2.07,36.46,12.74
-19.64,37.9,38.2,12.17
-30.93,-3.24,34.13,13.27
-7.79,6.4,35.99,15.09
-12.6,4.21,32.16,14.94
-29.04,3.49,34.61,13.75
-38.46,-5.58,31.58,6.07
-20.63,27.6,36.34,13.07
-5.25,6.42,32.1,11.26
-39.6,-0.66,30.14,10.51
-19.96,-2.13,36.73,15.94
4.74,10.81,33.71,14.28
-20.13,19.15,28.31,9.4
14.95,5.54,30.07,7.78
3.28,-0.83,31.31,9.43
-23.94,39.43,35.9,15.98
-29.1,-31.28,33.74,15.0
-32.77,15.65,32.1,15.92
-9.03,25.2,34.56,20.08
-22.4,13.67,32.78,13.04
15.78,-3.8,32.04,9.87
-31.42,16.29,31.13,12.24
-31.17,11.08,34.76,13.2
-5.13,28.91,36.79,11.73
-41.89,-12.78,35.47,13.13
12.49,69.32,37.79,11.55
32.94,44.93,37.63,11.43
-35.62,-20.69,38.83,11.99
-106.32,-63.67,35.84,5.87
-0.3,11.82,41.6,18.68
-0.88,-18.03,40.68,11.52
