ch1,ch2,ch3,ch4
-27.11,-502.2,-97.8,26.51
10.71,-422.43,-92.78,20.91
-13.15,-449.2,-95.07,26.98
13.11,-461.15,-86.44,27.49
-77.66,-614.82,-104.0,31.59
-48.74,-492.07,-108.37,13.23
-3.77,-371.78,-96.68,27.51
-40.34,-380.3,-101.14,25.58
11.35,-412.59,-98.55,17.36
-24.51,-614.27,-96.92,27.54
-46.42,-451.73,-96.31,34.88
-26.9,-435.25,-103.87,27.85
26.87,-435.92,-97.38,26.58
-16.8,-464.05,-99.02,25.54
-22.17,-538.28,-102.37,11.52
21.32,-403.04,-99.15,17.07
-17.9,-515.18,-103.45,17.33
-44.05,-553.2,-102.46,15.48
13.86,-403.06,-98.27,24.09
0.65,-407.04,-98.13,23.38
21.28,-367.32,-100.77,26.41
-24.11,-382.96,-97.17,13.69
-50.25,-463.94,-102.41,25.42
-34.81,-508.5,-101.24,30.19
-19.54,-441.67,-100.88,26.38
-34.47,-462.9,-93.35,30.16
0.55,-559.57,-100.14,27.56
40.57,-470.14,-94.41,22.86
-41.63,-475.55,-111.67,25.06
-14.04,-496.89,-99.45,30.54
8.52,-461.55,-104.27,31.79
-22.29,-469.35,-112.76,23.01
0.45,-380.02,-104.58,21.91
-37.09,-496.79,-101.51,37.97
-10.41,-449.07,-107.05,24.96
-34.18,-496.39,-96.21,29.45
-24.38,-442.37,-100.21,29.26
-13.56,-497.48,-104.03,40.2
20.95,-452.38,-105.9,25.24
45.58,-429.65,-86.32,35.46
-122.75,-510.65,-103.07,27.99
-13.78,-520.72,-120.88,9.36
34.7,-411.49,-116.8,14.18
4.61,-480.69,-109.94,16.32
-76.17,-571.18,-104.87,37.12
39.2,-399.14,-93.19,44.04
-5.79,-323.66,-102.09,35.14
-28.67,-509.05,-103.26,23.44
-24.12,-488.98,-99.66,31.61
27.83,-419.79,-95.96,26.06
