ch1,ch2,ch3,ch4
22.6,17.7,39.16,9.0
-6.32,29.65,42.54,7.78
-74.82,-14.5,32.0,16.1
20.85,-17.83,44.67,10.74
49.96,10.78,20.6,5.1
-69.42,-15.64,28.75,10.84
-35.78,13.31,17.34,8.99
-24.28,27.39,49.7,12.45
-5.97,42.65,39.55,13.19
96.65,29.12,37.86,9.52
-48.68,23.28,40.86,8.42
-105.83,-41.82,42.56,9.63
22.79,-14.71,36.99,9.35
-5.6,34.12,45.09,6.91
-2.06,52.38,29.81,12.77
-59.99,17.18,30.94,11.32
-6.6,-23.66,40.12,13.87
-70.48,-45.45,36.32,13.19
5.24,26.66,33.78,6.34
5.04,1.84,36.43,3.43
0.07,22.96,12.57,3.12
6.65,67.83,30.03,15.97
-24.9,-31.11,22.99,7.03
-3.77,19.3,16.82,7.58
27.89,51.15,57.82,12.22
3.37,42.26,42.6,13.16
-121.49,-22.59,39.05,12.01
3.15,-2.81,29.12,9.93
2.98,-25.06,29.91,4.9
-11.34,36.1,31.13,13.28
-51.46,-26.05,34.26,12.18
149.43,22.5,44.04,13.98
-62.78,4.89,23.88,8.46
-9.55,8.46,23.76,8.06
-82.6,17.68,38.98,-1.2
30.91,-1.86,35.71,14.2
40.42,27.11,-9.01,1.72
-86.31,-17.3,61.49,11.49
0.82,38.4,34.35,10.78
-19.93,6.73,23.19,7.27
-23.53,22.48,46.32,9.24
-53.71,2.06,41.77,18.03
-20.45,-24.72,38.18,7.86
-47.75,19.14,36.56,8.34
0.77,27.57,35.28,17.13
10.95,2.54,41.83,9.77
-6.51,-3.32,17.08,6.93
-38.9,15.24,41.38,10.72
23.72,47.47,34.77,12.08
3.25,2.2,12.84,5.69
