ch1,ch2,ch3,ch4
-13.56,-558.93,-141.67,-34.83
19.51,-471.56,-43.26,-1.94
-80.91,-428.95,-105.81,44.29
-60.5,-528.61,-112.3,-18.07
42.2,-495.18,-112.91,-25.05
-12.91,-445.98,-78.78,11.44
-6.39,-476.38,-73.57,5.81
-10.6,-464.41,-80.0,-39.15
-24.13,-469.91,-100.28,19.75
-23.6,-474.66,-103.01,-17.44
-21.32,-423.08,-123.09,-18.6
-90.23,-281.12,-155.82,-69.32
-151.54,-449.13,13.42,24.2
105.64,-553.31,-123.24,36.07
21.51,-482.16,-129.15,-59.57
-8.24,-561.69,-165.44,14.23
22.03,-507.47,-36.58,14.17
-11.98,-506.49,-75.64,8.85
-21.76,-488.88,-91.35,-3.09
-21.07,-488.96,-104.45,-16.64
-113.6,-443.63,-152.67,-28.19
-4.24,-447.87,-60.31,5.39
16.93,-425.62,-145.27,-13.85
13.97,-476.28,-56.99,-37.89
-43.71,-491.65,-83.39,4.37
-23.86,-441.21,-77.16,13.91
29.54,-478.7,-124.76,19.95
-73.85,-501.97,-107.33,-15.9
-49.79,-372.52,-137.08,-39.53
14.68,-409.02,-97.59,32.6
40.95,-490.65,-109.97,7.32
-32.8,-563.24,-100.09,-46.74
-38.02,-490.09,-105.19,25.3
-4.44,-465.89,-78.72,16.18
-39.41,-493.92,-106.67,9.35
-53.0,-491.56,-82.93,15.47
-105.06,-334.34,-164.19,-79.02
4.23,-409.06,-49.49,-18.02
38.91,-537.46,-77.84,20.29
9.58,-544.73,-102.75,16.79
19.85,-467.67,-118.17,-8.77
-4.91,-492.12,-116.68,-18.68
-26.81,-478.76,-80.47,-12.84
-8.96,-469.26,-94.74,-23.42
-37.09,-477.59,-95.48,20.18
-64.82,-415.64,-141.29,12.77
-6.35,-362.58,-185.18,-64.76
13.53,-493.06,5.03,3.57
-65.23,-494.48,-105.16,35.6
22.67,-490.55,-120.66,-8.67
