ch1,ch2,ch3,ch4
-95.74,-573.47,-77.33,42.69
-33.44,-500.23,-56.13,23.33
5.76,-491.81,-130.26,8.74
-35.8,-488.99,-83.22,17.56
-10.03,-464.8,-62.27,36.55
-9.43,-466.86,-75.99,23.51
-40.24,-486.21,-102.28,30.47
-37.44,-456.62,-124.17,13.73
25.95,-361.64,-148.8,-10.57
-3.49,-438.21,-132.12,-1.05
-102.59,-504.88,-132.93,17.51
19.52,-491.44,-130.88,5.2
6.26,-469.38,-60.65,37.21
-41.93,-486.42,-186.34,19.55
-4.38,-439.65,-120.95,-1.83
21.19,-389.28,-184.11,-18.19
-69.48,-570.38,-182.08,12.92
-48.82,-514.72,-2.96,56.07
-5.66,-456.3,-75.11,25.79
13.21,-343.28,-213.24,-22.53
-22.36,-486.29,-106.7,39.7
-39.12,-483.13,-48.07,32.94
-26.91,-404.28,-96.01,-10.0
-13.23,-451.71,-191.49,7.82
-24.24,-530.58,-81.17,57.62
-43.06,-511.72,-49.11,41.54
-99.45,-465.46,-106.58,30.24
14.2,-506.27,-142.44,19.11
10.7,-437.27,-99.95,9.37
8.92,-466.11,-102.49,36.75
-32.98,-429.31,-146.11,5.74
-24.79,-520.37,-106.26,24.82
-45.78,-413.38,-124.6,1.73
-41.59,-472.24,-76.4,34.18
8.87,-504.79,-100.49,30.79
24.91,-468.27,-101.68,24.83
-14.9,-464.86,-115.12,20.72
-27.99,-472.36,-112.57,9.08
-13.05,-446.87,-161.93,1.54
-24.78,-443.0,-90.47,31.24
-25.63,-471.25,-117.36,26.81
-0.01,-414.66,-184.24,-3.02
-28.7,-411.53,-88.62,5.49
-39.25,-562.34,-172.62,11.58
-19.23,-502.71,-156.26,11.08
-15.54,-418.77,-127.36,-9.21
-87.04,-559.48,-116.65,27.69
-14.42,-503.84,-26.41,51.97
-35.23,-481.79,-87.38,33.25
16.63,-459.31,-105.76,23.83
