ch1,ch2,ch3,ch4
-11.58,-442.43,-243.67,-32.22
-26.97,-481.68,-140.73,18.96
-44.1,-501.51,-135.13,40.98
-15.04,-476.64,-101.2,-6.24
-28.08,-493.05,-114.94,31.25
-14.82,-477.31,-62.13,2.41
-4.15,-442.88,88.51,31.1
-15.74,-496.17,-271.77,-29.34
-27.7,-500.71,-43.23,125.43
1.49,-481.74,47.19,-84.1
2.89,-474.05,-237.0,-16.88
10.03,-499.82,167.14,-3.5
-33.46,-503.79,-313.55,-22.86
-33.02,-504.37,-252.3,7.35
-4.65,-478.48,-171.37,60.41
4.61,-471.67,-180.59,-42.89
-31.65,-506.62,-112.09,-21.26
-14.35,-519.79,-26.53,-71.36
-30.35,-519.36,-242.75,-66.09
-3.94,-445.86,-86.24,-1.18
-5.85,-451.75,-257.94,140.24
-29.29,-523.63,-118.89,-102.16
-34.68,-523.77,-186.2,-52.93
-1.58,-435.6,-9.62,10.17
-33.69,-522.87,-161.98,64.54
-12.46,-489.4,-181.54,-62.61
-25.88,-497.65,-135.23,-49.5
-24.21,-485.82,-111.37,61.88
-10.86,-475.72,-101.25,28.4
-9.35,-470.93,-92.9,-8.0
-0.88,-474.74,299.59,26.78
-37.43,-520.52,-320.12,-4.88
-19.24,-466.39,-193.54,-7.76
-29.99,-465.2,-169.84,15.35
-9.02,-496.8,-25.48,13.97
-29.69,-531.25,-245.57,-65.97
-32.43,-474.61,-122.57,19.38
-25.39,-411.47,-163.64,-16.93
-17.16,-497.52,-166.37,0.9
-12.09,-479.6,-1.53,47.02
-12.95,-478.31,-58.75,98.17
0.1,-516.25,-38.77,-98.57
-38.08,-486.53,-377.37,-4.87
-25.92,-472.3,-105.14,-10.33
-3.32,-467.36,-97.78,-2.39
-0.99,-474.81,-6.24,37.55
-20.74,-484.81,-146.73,4.18
-18.31,-485.55,-62.68,-7.91
-18.23,-522.26,-254.77,-56.09
-15.82,-478.58,-96.23,63.67
