ch1,ch2,ch3,ch4
-20.16,-496.56,-102.39,26.46
-38.7,-484.29,-89.96,14.67
-6.33,-488.99,153.81,16.91
20.34,-473.76,-218.82,-29.61
-0.54,-439.02,-227.61,-25.24
-21.21,-521.59,-67.85,60.11
-13.85,-423.53,-103.41,36.9
-11.8,-331.59,-105.67,16.04
-27.91,-577.27,-99.33,23.56
-23.75,-532.2,-98.13,21.55
-17.02,-458.57,-111.73,2.94
-6.01,-442.26,-72.99,22.91
-11.91,-560.58,-74.64,38.45
-11.52,-495.08,-119.67,9.44
10.08,-465.84,-45.26,-2.37
-8.87,-468.74,-39.42,14.83
-17.05,-514.16,-115.76,-14.58
-16.01,-437.3,-153.48,-35.11
-22.29,-476.79,-29.15,98.53
-12.99,-488.66,-128.01,21.96
-20.62,-470.09,-92.89,16.37
-18.7,-501.21,-112.24,4.37
4.56,-480.29,48.98,13.39
-3.25,-418.87,-171.31,-20.29
-4.04,-377.52,-139.2,34.83
-16.42,-462.09,-128.1,27.39
-18.48,-489.34,3.87,18.04
-26.45,-550.47,-166.95,24.51
-29.58,-544.73,-74.79,-7.08
-21.32,-472.63,-157.71,9.04
-20.67,-517.79,-89.67,5.98
-20.73,-478.37,-103.72,2.03
-24.85,-491.68,-95.63,0.91
-4.84,-472.14,-107.31,0.08
-28.37,-482.82,-107.49,-29.25
-18.21,-483.29,-83.85,19.6
-8.12,-475.36,-38.08,10.32
-2.22,-425.72,95.55,32.88
-18.05,-490.35,-220.0,-25.98
-8.75,-507.2,-117.05,39.15
-11.3,-468.82,-65.33,-52.75
-6.19,-426.59,-156.87,26.41
-17.35,-485.72,-121.17,20.48
-21.3,-488.94,-107.56,11.76
8.16,-362.02,-104.38,5.34
-0.63,-425.03,-100.09,22.79
-61.81,-662.97,-89.71,20.64
-25.61,-466.65,-57.1,17.27
-21.85,-487.74,-88.61,5.6
4.37,-439.87,-82.19,-31.76
