ch1,ch2,ch3,ch4
-24.21,-22.34,25.58,66.98
-7.01,28.06,27.51,-23.78
6.0,61.84,30.63,33.27
-6.63,57.31,53.54,63.13
-36.39,-6.19,19.1,-47.41
-2.82,-22.13,25.22,-25.98
-20.76,-8.83,45.47,5.84
1.78,57.85,39.83,-8.85
-18.21,18.9,50.71,22.33
-13.61,9.45,56.29,-10.72
-34.24,-34.58,-6.32,45.75
-8.16,60.53,12.94,5.28
-36.13,14.49,56.75,96.0
-21.22,1.77,55.56,-22.42
-6.18,39.13,28.13,63.83
-18.1,93.06,26.73,-52.63
-15.34,20.11,27.84,5.11
-3.65,81.77,32.65,-20.77
-44.67,-107.36,39.3,5.93
-25.79,-38.59,36.92,-11.23
-19.17,-15.0,62.84,6.48
-6.22,40.29,34.36,-19.91
-14.6,40.51,-10.6,21.04
-11.4,28.21,47.37,17.51
-9.2,6.95,30.86,12.11
-1.86,33.75,39.53,85.84
6.49,31.34,34.62,-21.95
-35.32,11.2,3.52,-27.59
-34.88,-23.77,37.08,-12.28
-26.62,13.81,66.96,0.74
-19.63,30.74,8.86,3.64
-25.34,35.43,30.13,54.28
-15.48,-2.75,46.51,-24.18
-0.41,31.86,38.79,1.73
-1.31,13.62,60.14,-8.36
-16.56,52.4,34.16,17.57
-28.02,-30.38,26.26,-2.41
-9.23,27.73,17.62,-45.15
-7.38,64.92,60.51,108.12
-27.87,-6.15,23.72,-32.73
-14.51,-23.84,32.0,-2.22
-9.07,45.18,38.84,6.28
-6.08,116.83,29.55,108.03
-27.24,22.72,69.92,-74.18
-14.19,-24.38,22.89,-4.57
-32.78,-28.65,43.14,-35.98
-30.08,-8.43,27.2,85.93
-4.5,27.83,20.46,-0.87
6.74,51.57,42.2,-0.36
-48.52,-18.87,44.58,103.45
