ch1,ch2,ch3,ch4
-38.73,-488.92,-63.41,27.34
-19.88,-486.07,-35.64,26.74
-6.94,-469.92,-60.55,16.32
-15.57,-496.54,-97.41,12.64
2.98,-394.52,-142.97,-16.34
-17.6,-449.08,-121.81,15.73
-3.87,-523.73,-263.46,-20.22
-38.61,-539.8,35.11,64.85
-35.89,-483.53,-57.01,14.45
-4.21,-435.12,-92.37,7.51
6.7,-426.28,-97.88,0.7
-41.54,-540.01,-76.46,32.87
-22.44,-430.67,-90.83,17.48
6.73,-371.04,-115.57,-11.31
-28.7,-517.78,-115.4,18.72
-42.73,-615.25,-111.62,31.61
-21.06,-528.44,-135.74,10.6
14.09,-418.68,-83.19,-9.28
-24.8,-480.85,-68.26,20.48
-27.73,-516.11,-83.08,28.89
-38.25,-520.42,-86.73,23.02
-30.14,-490.04,-225.42,-11.67
-14.99,-481.93,-159.48,2.49
-11.7,-446.87,-53.3,22.7
12.49,-364.32,-47.25,4.29
-41.47,-584.41,-57.7,35.85
-11.82,-456.7,-97.45,-2.01
-18.86,-460.25,-85.23,2.67
-23.29,-496.41,-117.28,10.07
-25.28,-500.14,-97.88,12.72
-31.15,-521.43,-109.93,14.98
-41.57,-504.13,-75.88,28.63
-30.5,-490.39,-92.18,14.42
-20.53,-486.85,-99.99,15.88
1.94,-458.9,-100.26,12.38
-20.62,-481.47,-97.9,9.54
-23.62,-482.33,-102.09,14.75
-10.78,-433.27,-108.21,9.95
40.27,-291.64,-128.82,-30.69
-20.21,-513.27,-253.88,-10.84
-52.95,-583.32,-39.89,55.12
-9.2,-440.08,-43.34,2.44
-8.01,-429.66,-89.28,2.75
-41.68,-488.88,-96.24,16.93
-37.91,-523.15,-97.22,18.69
-38.31,-533.6,-94.76,20.52
-33.15,-519.64,-92.63,14.63
-13.07,-484.87,-103.94,1.4
-0.73,-407.57,-103.32,2.26
-18.27,-486.51,-81.6,20.0
