ch1,ch2,ch3,ch4
-7.8,-492.34,-84.86,20.19
-12.56,-465.75,-96.91,17.13
-13.02,-466.75,-170.62,-3.26
3.36,-372.21,-93.56,0.29
-7.61,-442.57,-150.91,3.75
-33.2,-465.35,-42.52,40.3
4.32,-396.82,-99.83,-0.43
-4.46,-517.89,-89.3,35.46
-25.81,-525.2,-91.06,35.88
-15.78,-491.31,-129.57,19.31
-19.62,-450.46,-100.5,14.98
-90.6,-323.19,-83.34,-5.54
106.21,-311.0,-109.33,-33.7
-15.4,-514.42,-86.03,39.13
-20.69,-544.78,-83.0,49.56
-12.12,-531.45,-96.42,36.35
-13.04,-495.22,-105.9,16.83
-23.13,-483.76,-123.87,22.16
-15.87,-470.81,-194.84,-3.47
3.72,-410.23,-29.37,21.83
10.97,-355.6,-56.41,8.52
-47.91,-562.31,-41.71,88.71
-15.79,-494.52,-92.84,23.81
27.65,-380.69,-95.59,-36.16
15.16,-439.25,-137.99,-7.03
-38.45,-504.13,-114.19,26.17
-19.04,-472.39,-54.71,21.2
5.97,-374.01,-75.63,13.42
-2.29,-385.61,-104.88,7.32
-31.29,-513.86,-98.65,37.54
9.29,-467.62,-110.58,27.1
-22.29,-431.79,-63.52,-2.02
-94.97,-372.41,-92.92,1.6
9.8,-560.91,-94.5,43.94
-9.02,-532.96,-207.18,0.37
13.71,-462.77,-73.67,18.87
44.96,-386.93,-105.98,-13.47
-22.84,-558.44,-184.12,20.28
-30.81,-516.92,8.05,73.2
-20.94,-471.72,-51.4,19.75
12.47,-365.21,-44.18,11.92
-22.21,-504.98,-72.77,36.72
-19.45,-475.52,-74.45,29.97
-24.56,-450.13,-121.09,15.71
-5.36,-434.78,-92.27,13.94
43.02,-291.2,-85.42,-15.22
18.88,-359.55,-100.87,-6.79
-40.14,-578.81,-85.38,42.83
-13.05,-358.7,-95.03,16.66
26.63,-330.84,-93.52,-11.72
