ch1,ch2,ch3,ch4
-6.17,-453.22,-106.88,35.2
-6.29,-350.9,-149.75,5.34
-36.31,-541.78,-89.16,15.03
-9.91,-466.28,-58.86,53.05
-20.6,-349.91,-98.31,17.45
-36.38,-601.3,-133.54,-0.83
-12.21,-449.36,-76.42,-27.13
-13.89,-496.93,-82.26,72.03
-15.02,-457.4,-100.68,-11.0
-14.85,-426.56,-79.18,42.92
-19.33,-481.72,-191.8,39.24
-10.48,-473.46,-42.55,16.03
-13.66,-483.82,-87.1,25.4
-14.45,-476.29,-75.09,59.37
-17.53,-487.49,-93.71,14.74
-10.23,-491.38,-106.88,-19.94
-11.6,-440.46,-88.81,69.66
-16.74,-441.81,-77.96,6.68
-30.88,-504.44,-108.71,36.7
-27.63,-547.03,-110.84,19.66
-7.84,-302.59,-89.51,9.84
-6.35,-316.72,-116.82,52.75
-3.2,-463.6,-133.82,43.34
-29.67,-563.17,-129.67,-121.01
-24.68,-532.47,-77.87,76.42
-4.49,-486.19,-89.23,21.87
-15.51,-477.26,-96.44,72.07
-21.45,-531.62,-73.12,33.62
-7.39,-449.25,-63.33,120.1
-13.68,-446.99,-86.8,0.28
-27.43,-499.4,-132.27,-44.25
-16.32,-505.93,-78.73,57.37
-11.0,-466.02,-141.98,48.12
6.3,-315.01,-68.1,20.88
-0.62,-323.87,-169.12,20.12
-17.3,-540.14,-107.71,6.53
-30.13,-596.92,-59.58,72.11
-26.93,-495.81,-89.17,21.71
-4.68,-430.17,-113.1,-29.26
-14.59,-487.85,-106.26,-20.63
-21.14,-482.89,-84.25,71.72
-17.97,-459.74,-106.38,14.94
-7.56,-493.97,-83.35,62.18
-20.29,-453.64,-119.82,15.84
-0.84,-347.75,-86.36,57.78
5.18,-496.98,-107.27,-55.08
-32.14,-334.02,-119.44,47.15
-48.74,-622.3,-42.83,108.24
4.54,-416.87,-105.32,11.72
12.42,-435.7,-92.44,59.93
