ch1,ch2,ch3,ch4
-35.27,27.51,42.4,39.34
-0.88,131.51,43.47,40.18
-69.61,-184.64,39.34,9.15
-23.76,91.77,45.76,36.2
-60.76,15.0,30.49,32.46
-73.3,16.12,30.85,18.76
-37.84,-52.16,34.31,18.49
-35.11,-19.66,39.9,18.64
-23.9,-16.99,74.68,18.33
-37.16,-9.43,72.3,71.24
-43.0,-10.19,-8.82,8.47
-39.07,58.22,15.66,-13.65
-28.05,70.43,67.32,64.53
-78.21,-24.69,30.83,9.62
-56.02,-60.66,28.77,1.43
-26.08,-11.06,41.66,12.72
-53.13,76.94,42.42,20.46
-47.32,-11.7,37.35,21.6
-11.73,-21.82,41.48,7.91
-49.9,-98.16,45.34,17.24
-57.19,-18.82,46.07,23.51
-86.76,69.13,38.53,18.59
-38.15,-28.22,42.85,26.6
-11.79,52.55,40.52,31.35
-35.2,-61.2,35.07,30.41
-23.03,54.78,36.64,-18.25
-75.82,-66.39,39.7,12.82
-4.12,35.09,59.68,22.63
-71.86,-61.11,33.85,5.96
-50.65,10.42,46.29,64.2
-17.33,-8.41,41.05,-17.75
-40.78,7.27,47.65,6.0
-45.26,-37.18,61.87,32.76
-29.01,52.85,107.25,-0.98
-43.2,-122.81,10.47,23.13
-62.58,-6.16,12.67,-0.53
-58.65,4.04,32.63,12.42
-37.54,1.6,42.27,19.87
-45.01,15.6,52.55,21.8
-53.93,-72.65,34.73,-12.29
-43.32,-56.58,39.18,15.79
-36.06,73.62,35.73,-12.96
-32.9,-40.94,43.77,21.66
-18.72,-26.93,43.49,19.02
-49.34,-46.86,35.59,26.92
-35.56,52.74,44.45,2.85
-44.23,-54.6,41.03,7.16
-24.44,36.39,46.98,17.23
-48.41,-77.97,36.92,13.85
-47.39,-35.96,43.54,15.75
