ch1,ch2,ch3,ch4
-37.54,-32.88,31.83,4.87
-2.94,28.14,27.58,0.0
-15.5,4.36,31.84,4.14
-13.12,73.37,36.26,12.17
-35.06,-6.47,32.42,-1.03
-67.51,1.42,35.9,6.65
4.89,7.27,34.25,8.47
49.17,31.18,27.43,-3.55
0.61,27.82,30.53,1.69
-25.04,24.26,33.3,1.24
-38.16,-7.31,38.77,9.7
4.05,18.94,33.15,2.68
-31.51,1.66,31.56,0.09
-44.98,-13.34,39.12,6.16
29.11,12.23,33.49,-4.07
-5.37,13.95,34.79,-0.27
-17.75,4.4,33.51,-0.19
-7.61,95.99,36.68,2.26
-8.13,-46.18,35.14,-0.72
-47.8,20.98,34.54,1.74
-52.53,-18.99,34.13,5.54
16.23,24.69,31.64,-0.14
-32.8,-3.7,29.69,2.62
19.91,78.31,30.69,2.3
-6.13,6.83,30.4,1.84
-1.89,-3.22,30.96,-1.26
-30.54,13.03,30.68,6.71
-2.78,124.46,34.21,0.71
-3.59,-13.95,30.06,-0.69
-30.34,-49.26,26.18,-1.8
-29.34,21.38,31.96,0.95
-7.94,-11.7,30.47,7.15
-20.52,26.71,31.33,2.18
-76.9,-1.05,30.44,5.2
-10.61,60.33,26.34,-1.68
39.83,-6.24,31.09,2.86
-21.34,8.37,28.17,-1.94
-18.14,-8.67,31.06,1.8
9.85,28.47,34.47,0.44
-27.81,53.62,35.31,0.26
-18.48,2.37,37.52,0.84
-28.05,1.6,37.79,-2.46
-6.62,32.04,37.77,3.15
-28.4,49.77,38.97,4.09
-2.76,92.96,40.42,4.67
30.16,-31.04,37.95,-0.79
-19.81,28.43,36.03,-0.62
-23.57,-68.54,38.95,0.07
-20.04,26.69,32.03,-0.39
-71.28,-77.35,36.34,3.27
