ch1,ch2,ch3,ch4
21.15,94.06,30.82,-2.75
-37.21,2.9,34.99,2.8
-44.27,11.86,30.71,-0.7
-37.73,-18.02,27.61,1.89
20.29,31.21,24.25,-0.87
-39.13,113.85,27.21,12.89
-77.92,-83.61,24.81,10.23
55.71,-27.13,34.52,1.49
-35.75,-20.13,24.43,0.35
-4.51,55.62,25.64,-3.84
17.16,-21.35,26.4,-5.58
-26.96,-5.87,36.34,2.52
25.18,70.29,27.21,19.78
-0.99,97.67,22.46,-2.89
-32.91,117.86,28.09,-1.84
-49.34,-170.02,33.29,1.02
-12.14,-7.44,37.57,-27.83
-10.41,31.25,32.28,25.73
-36.16,16.33,30.92,10.28
8.73,83.2,32.3,3.45
0.3,5.48,38.87,60.66
-35.91,53.1,27.03,-41.87
-3.98,31.59,29.43,-9.13
2.07,-42.0,24.63,-10.34
-8.77,3.39,26.27,-4.77
-31.14,-27.18,32.58,0.62
-17.15,29.0,30.56,-0.9
4.15,0.95,31.1,-0.48
-38.48,32.08,29.3,-0.92
13.4,38.64,30.59,-3.96
5.46,64.19,30.12,21.2
-18.83,3.67,28.95,-23.3
-15.32,35.23,34.67,3.38
-11.94,36.96,31.85,2.62
-28.06,-133.88,27.33,-10.53
-40.28,8.53,37.08,3.24
31.62,106.11,31.97,-2.6
0.79,16.17,27.24,-12.82
-23.43,-1.67,28.95,-5.02
-18.38,-34.32,29.27,10.55
-9.21,30.98,33.26,6.89
-27.52,13.61,33.18,2.6
-35.38,-43.03,20.94,2.05
24.04,24.33,24.94,-5.06
-60.31,16.2,30.33,3.39
25.09,181.82,29.69,14.46
6.39,-75.07,18.6,-14.48
-8.72,6.26,27.9,0.33
-41.15,-13.13,27.92,1.41
-0.88,-8.21,25.98,-1.39
