ch1,ch2,ch3,ch4
9.9,-0.4,112.49,12.83
-23.14,9.76,-38.6,-22.97
-14.48,30.19,23.99,81.68
2.29,-23.67,69.83,18.94
-24.32,-26.13,23.33,-8.74
-12.81,24.86,37.19,35.9
59.42,107.26,64.38,-22.41
-99.95,-40.74,35.2,1.33
-46.41,-8.5,36.92,9.77
20.83,42.66,4.93,34.58
-26.73,34.74,31.94,-7.34
19.31,-8.93,23.92,-0.83
-48.41,23.82,95.4,-2.94
-21.46,13.52,6.92,53.21
-21.38,-10.41,102.36,12.45
-19.68,12.38,14.3,27.36
78.67,22.27,42.13,21.19
-88.05,7.98,-5.87,23.88
14.55,22.11,95.76,23.07
-38.04,59.51,66.07,-21.4
7.43,-0.13,-23.24,18.31
-64.34,-38.19,1.06,10.96
8.38,15.71,72.4,12.32
71.57,53.08,6.22,34.09
-106.32,-47.07,193.13,15.03
-32.27,7.26,39.71,-12.44
-0.97,-8.43,-69.71,45.62
1.02,-8.54,12.02,21.54
-47.97,-3.56,26.42,53.69
-25.64,26.62,17.07,2.79
1.87,98.84,22.5,0.15
-31.92,-37.64,29.99,27.02
-17.12,-8.78,67.92,-5.81
41.61,22.65,13.32,27.18
-35.34,-13.93,86.06,8.07
-59.69,-4.62,53.81,32.3
-8.88,59.05,16.97,6.25
-14.88,15.39,5.52,-2.62
44.17,-3.04,12.0,7.58
-35.61,73.5,60.4,-15.15
-36.13,32.26,105.3,46.73
-43.11,-17.3,10.73,-16.0
-38.52,5.65,-10.03,16.1
37.69,-35.8,44.3,36.26
37.69,50.63,55.57,14.91
-94.89,12.83,9.13,20.94
-28.32,31.78,39.07,48.58
-11.85,49.65,35.43,1.88
4.98,-14.61,116.4,27.62
-27.11,-80.04,154.49,-5.13
