ch1,ch2,ch3,ch4
-63.12,22.8,-2.5,21.34
-26.85,14.6,26.6,-0.87
4.19,-1.61,69.76,-24.89
-30.44,6.33,31.27,9.49
-0.73,22.88,11.31,34.44
20.52,17.77,16.71,1.64
-9.04,-25.52,21.87,-14.03
-17.94,5.32,22.5,23.18
40.71,10.92,79.17,-31.89
3.35,13.81,-10.82,-6.91
-12.01,11.11,26.16,55.05
-107.29,5.72,68.82,23.05
-23.8,12.88,63.01,-54.44
-27.46,-23.75,-6.15,-2.99
-21.27,16.02,50.67,1.63
20.66,20.16,12.02,-3.69
5.38,-12.08,4.97,4.91
-14.19,5.69,34.44,6.62
-23.32,9.03,11.78,-3.22
-3.92,0.43,39.04,5.04
-5.43,3.39,32.88,-9.01
10.6,-4.9,66.6,3.21
-40.13,-2.66,9.18,-14.26
-20.12,8.98,25.98,31.28
-8.67,7.09,49.51,-13.73
57.02,17.69,59.13,-16.95
-67.24,29.7,-15.62,-3.99
-43.82,-28.98,16.25,20.6
-24.21,-12.6,35.43,5.05
-20.39,14.78,48.98,-14.31
-6.63,67.19,54.58,4.85
9.29,18.01,22.86,-16.34
-8.71,-59.0,22.39,-9.21
-12.79,-13.87,20.12,-8.81
-23.03,-1.44,32.93,36.29
-12.79,-7.09,28.8,-3.37
-10.17,0.74,25.26,5.39
40.02,20.02,50.17,-2.84
-56.14,-8.74,68.08,5.34
-22.22,25.92,-6.26,-3.02
-23.45,25.51,23.49,-5.5
77.52,8.54,32.31,2.77
-60.01,-17.45,35.0,17.17
-71.79,-20.62,29.4,11.69
-40.54,-7.44,28.03,-25.79
-4.03,2.33,31.39,-12.85
5.67,39.68,42.92,26.58
-19.55,6.47,38.07,-7.54
-20.75,-14.53,70.61,-29.32
-1.23,-17.09,66.27,13.08
