ch1,ch2,ch3,ch4
-15.82,34.87,-31.09,-7.55
-7.41,65.16,-28.38,-17.16
28.23,44.46,62.25,-14.52
-26.77,23.04,-62.82,-9.13
-26.57,-4.28,134.87,-23.52
131.63,33.01,-54.78,9.74
-123.07,9.95,111.44,-26.9
-106.38,10.24,-140.22,15.49
10.7,15.86,-29.21,-12.83
-48.45,29.25,29.92,-18.7
-16.47,57.08,-8.93,-26.7
-7.13,47.24,53.19,6.92
-49.3,-9.53,-40.67,-5.28
-11.55,-0.46,67.25,-18.0
25.43,6.91,79.79,-17.09
84.58,80.33,-70.44,-1.85
-100.47,46.52,-78.9,14.75
-23.59,-32.06,12.49,-20.46
75.08,-10.67,127.81,-27.69
-1.04,34.01,232.5,-36.4
-169.43,27.5,-188.72,4.63
-26.78,-0.76,-40.8,10.69
17.05,54.57,36.55,79.4
-33.98,23.52,80.35,-94.05
-17.27,-24.69,-123.33,-13.04
-26.71,-9.27,-10.35,-37.64
-2.91,30.71,89.14,-6.03
-8.96,31.65,-22.09,12.08
-12.67,15.48,-74.03,-23.71
12.79,20.87,2.04,18.52
79.6,25.91,36.62,-3.21
-73.44,28.51,41.27,-11.71
-56.89,34.88,164.16,-27.05
-17.94,44.26,-136.71,-9.97
-56.66,21.22,33.69,-6.42
-23.93,26.47,-27.53,-27.25
128.68,9.0,104.24,61.94
-76.54,-68.75,-125.58,-55.89
-116.34,13.45,26.16,-13.69
-24.8,37.57,129.74,-6.05
-8.82,23.18,77.29,-14.42
-60.73,42.2,-139.59,-27.22
-11.93,-23.62,90.36,-18.47
14.26,37.04,-32.47,51.08
47.16,15.35,-53.93,-44.12
-31.6,-13.08,-25.04,-3.52
-35.67,97.37,-0.32,-32.2
-11.51,11.49,243.79,21.91
-67.3,-41.04,-173.3,-8.95
-15.76,5.48,10.9,-8.7
