ch1,ch2,ch3,ch4
-19.37,13.57,-67.71,27.62
-8.84,16.8,1.11,-73.23
-9.09,53.26,11.53,-18.14
-16.66,-50.72,-0.68,-3.06
31.94,-30.48,4.59,-22.45
-37.26,67.42,15.62,-9.2
9.64,42.45,6.94,-43.94
-52.17,8.71,0.18,-2.32
105.94,41.89,14.85,-6.86
-89.01,26.24,13.81,-29.37
-75.0,6.39,16.77,-18.37
-16.92,18.3,41.06,1.22
-1.89,21.33,-7.47,-21.09
12.45,33.5,12.88,-15.51
-28.22,37.44,82.63,11.02
-17.07,7.32,49.76,13.74
-15.08,9.86,-68.74,-67.16
-13.91,1.42,-21.49,-13.37
-6.5,20.77,-3.83,-28.23
32.08,67.18,10.61,16.12
-39.14,-21.42,14.75,-44.01
74.7,9.23,55.56,7.03
52.64,-15.47,3.23,-35.9
-149.67,14.36,-1.66,-20.64
-44.58,-42.9,1.36,-12.29
-13.36,82.05,51.02,-16.11
-8.65,-3.63,-12.39,-19.61
-5.87,26.12,-5.36,-19.64
-16.53,61.5,44.18,0.01
93.38,104.57,49.91,22.19
-37.13,-67.76,32.79,-14.64
-86.52,-0.55,-40.82,-35.78
-22.51,19.34,32.42,-35.73
-10.69,3.31,-21.21,-14.09
-0.96,30.05,63.66,-6.62
-14.74,66.19,-30.24,2.97
2.52,-8.05,-11.27,-33.46
-14.47,16.97,12.31,2.05
-23.61,-7.29,29.17,-11.15
78.59,-24.59,-9.36,-15.42
-51.98,10.95,1.74,-17.27
-12.28,38.23,12.91,-26.97
-41.5,50.58,2.31,10.37
-17.95,7.47,14.69,-22.77
-35.34,-63.26,12.8,0.6
-2.79,116.18,9.84,-4.91
71.56,26.36,26.36,-37.28
2.35,51.95,7.22,-19.61
-111.61,-8.24,23.83,-15.77
-20.82,-13.93,1.48,-15.09
