ch1,ch2,ch3,ch4
-14.97,-498.74,-128.49,16.59
-36.31,-515.3,-112.03,19.46
-25.45,-499.49,-154.79,6.37
-15.87,-481.54,-72.73,31.22
-22.02,-485.2,-61.78,26.1
-34.27,-476.83,-72.73,16.83
5.42,-451.57,-112.05,17.78
-36.09,-495.17,-97.98,24.05
8.2,-378.51,-108.62,3.31
-5.69,-444.96,-105.45,0.49
-76.13,-518.45,-188.74,15.53
20.55,-457.69,-132.33,-6.33
17.82,-383.42,-94.85,-8.15
-7.15,-518.87,-55.29,32.25
-60.86,-582.02,-83.53,48.31
-20.93,-522.53,-100.34,25.17
-21.89,-500.86,-97.63,17.83
-24.37,-490.1,-106.77,13.08
-40.74,-482.59,-100.95,14.08
-35.33,-461.05,-136.0,2.88
37.81,-418.81,-132.88,3.71
-4.53,-496.13,-71.87,30.06
-16.89,-476.65,-104.48,16.02
-26.32,-485.38,-113.48,25.73
-25.7,-469.48,-170.0,4.41
-27.33,-493.23,-76.43,17.62
-17.41,-483.02,-78.35,19.97
-19.98,-479.06,-94.07,13.75
-32.22,-483.16,-97.32,10.05
-17.03,-465.32,-100.35,12.66
-28.0,-391.41,-101.91,-6.74
59.57,-366.04,-112.6,-23.06
13.7,-415.41,-109.39,10.54
-26.0,-550.19,-179.51,8.6
-25.29,-517.51,-117.24,8.53
-33.27,-479.35,-3.07,27.17
-24.91,-513.5,-107.13,0.57
-45.1,-528.28,-92.98,24.82
-24.48,-450.98,-103.57,-10.46
-16.72,-475.01,-96.64,19.1
13.5,-399.22,-101.76,15.95
29.86,-351.06,-114.02,-9.22
-28.26,-576.23,-94.06,25.98
-49.79,-540.49,-88.93,35.15
-35.76,-504.34,-102.16,22.36
-21.88,-486.03,-125.21,17.21
-16.97,-472.89,-281.01,-28.14
-24.59,-480.46,-185.61,-15.72
-16.42,-467.61,41.04,51.33
-14.76,-453.02,-56.16,30.77
