ch1,ch2,ch3,ch4
-24.25,17.71,10.8,-15.75
-21.03,-15.37,41.38,-19.69
-10.09,37.68,16.4,-11.71
-5.38,32.05,-20.82,-4.97
-41.62,-50.78,-3.41,-23.41
0.57,22.89,2.53,-17.5
-3.78,7.62,97.52,-13.57
-0.58,28.44,122.96,-11.22
-7.54,110.02,65.15,-20.63
-35.68,-64.16,-171.99,-13.42
5.43,63.92,-35.64,-10.06
-29.82,-18.21,-21.37,-23.15
-9.42,8.51,1.26,-14.82
-10.87,60.6,41.31,-14.78
8.02,70.58,13.24,-12.7
-13.12,-18.96,-28.18,-22.89
-34.88,71.91,6.25,-8.41
-35.54,42.72,4.04,-18.62
69.07,-64.41,35.05,-21.19
-85.04,23.91,20.93,-17.58
-52.36,65.34,51.92,-10.48
-31.66,-22.36,-48.25,-15.64
-4.27,34.35,-2.44,-16.27
-33.82,-18.38,30.8,-26.06
-20.43,-3.58,102.87,-12.51
-4.62,-6.69,-8.94,-17.66
5.96,121.07,-2.69,-16.93
-9.71,-8.68,-46.58,-16.73
-14.52,22.48,-10.39,-24.26
-8.4,86.64,7.04,-13.35
-31.52,-72.95,141.91,-19.14
19.07,58.61,-44.92,-23.49
-20.65,65.6,-30.43,-14.66
-12.98,-7.27,8.04,-17.15
3.11,29.65,-16.49,-18.82
-41.41,-52.51,4.94,-18.25
-23.22,79.31,19.94,-14.56
-23.48,1.94,126.28,-19.26
-13.24,-0.24,-56.32,-14.69
-0.16,145.87,-21.75,-15.26
67.68,-22.98,49.8,-19.41
-48.36,-22.91,-25.52,-20.2
-73.17,6.6,-20.57,-18.98
-10.9,106.9,2.51,-12.75
-34.36,-102.43,44.79,-19.45
-15.35,31.92,16.22,-17.93
-21.12,14.84,-27.68,-14.9
-16.43,95.09,29.33,-3.5
10.46,-4.57,51.57,-28.16
10.72,170.26,-11.75,-9.77
