ch1,ch2,ch3,ch4
-5.03,-501.0,-65.08,15.48
-12.54,-457.5,-39.79,43.71
-7.99,-473.09,-92.73,34.74
-24.05,-398.07,-90.26,-10.06
-2.49,-299.21,-99.4,9.52
-22.26,-540.68,-104.85,6.01
-35.61,-587.59,-162.64,-5.55
-30.48,-570.59,-123.88,19.7
-18.89,-499.12,-116.99,5.45
15.42,-488.42,117.34,67.95
-1.2,-488.91,-313.44,-99.58
-15.69,-474.38,-106.06,47.48
-9.6,-487.56,-91.17,16.31
-36.88,-487.91,-24.5,43.25
-25.88,-470.95,-166.16,14.5
-13.69,-486.76,-124.82,-13.56
-19.38,-479.05,-110.43,29.29
-22.07,-482.13,-101.8,30.03
21.78,-455.95,153.82,0.95
-4.3,-412.96,-154.91,48.59
-22.58,-459.73,-259.99,-13.57
-31.63,-507.04,-116.32,-7.23
-6.2,-392.61,-93.17,58.17
-30.05,-611.99,-111.84,6.99
-20.1,-536.39,-59.38,4.69
-25.8,-497.66,-149.5,35.86
-20.39,-489.78,-120.5,22.88
-23.81,-477.6,-116.2,25.59
-22.59,-471.57,-114.66,13.49
-15.42,-483.11,-114.93,-7.09
-2.05,-464.25,261.26,20.52
6.14,-401.41,-369.28,-110.54
-11.57,-438.44,-192.76,99.51
-31.02,-534.51,-153.29,-5.24
-22.73,-537.86,102.87,30.48
-38.54,-522.94,-202.57,83.54
-28.15,-509.82,-145.21,5.68
-20.97,-486.71,-128.41,-9.49
-23.7,-468.25,-111.12,4.53
-17.75,-492.32,-93.73,-4.75
-20.91,-479.88,114.81,51.02
-15.64,-466.35,-31.85,27.95
-5.8,-433.97,-281.52,-13.73
-18.39,-525.2,-152.36,9.93
-34.72,-475.91,-58.19,46.48
-6.03,-441.77,-128.14,-4.64
-26.5,-507.24,-87.43,19.21
-28.62,-515.31,-134.92,26.06
-21.02,-478.44,-117.94,18.65
3.94,-340.41,-38.83,-37.28
