ch1,ch2,ch3,ch4
-7.33,57.04,-34.21,42.87
-33.17,-8.32,-75.51,-32.94
-22.66,-4.44,-13.63,-25.5
-12.36,33.28,1.13,-24.9
-18.71,7.94,71.59,-15.01
112.29,42.48,65.41,-34.3
28.88,56.32,-13.5,1.09
-195.85,-18.84,-20.35,-2.69
-30.27,-23.72,-27.09,-12.33
-34.02,33.32,109.45,-9.69
-4.26,38.78,-29.26,-26.64
53.81,14.5,12.5,-16.78
-49.39,4.16,-47.93,-2.88
-19.48,57.59,-3.6,-20.11
-2.91,29.6,19.85,-5.07
30.26,28.96,31.22,-20.89
-22.36,55.0,72.77,7.32
2.11,-23.56,97.93,-58.81
129.72,15.95,-95.56,8.93
-166.86,-19.88,14.63,-15.21
-83.0,55.56,32.76,-40.91
-21.83,7.34,-72.09,8.16
-25.52,24.1,-18.29,-13.64
-9.16,44.0,13.92,-8.53
-15.38,11.2,35.44,-17.79
-8.62,21.67,46.67,-22.18
0.14,31.67,25.95,-8.13
44.06,2.93,8.37,-18.07
-41.07,20.61,-55.37,-24.75
-27.7,27.39,11.12,-21.91
-0.94,44.84,25.71,-12.59
28.37,45.19,35.59,-8.79
-40.09,2.16,-23.38,29.05
105.67,14.67,4.88,-44.55
-30.88,92.68,122.49,-41.72
-93.43,-5.72,47.73,-27.88
-103.61,-30.05,-54.19,-11.95
-38.81,-0.95,-11.92,6.89
3.63,17.87,-43.38,-16.33
-10.69,25.92,-4.32,-5.78
1.44,24.52,-34.43,-31.68
6.04,7.1,32.63,-11.8
-17.47,3.61,20.82,-22.13
43.08,49.09,-8.22,-5.73
-20.05,23.56,188.85,-17.47
-48.75,36.58,-65.0,-24.3
18.49,28.26,-10.45,-12.44
-35.97,-1.05,-22.99,-20.41
93.36,-21.24,-29.92,-39.77
44.87,38.77,134.91,2.16
