ch1,ch2,ch3,ch4
3.16,-345.41,-131.82,3.01
-17.72,-473.89,-28.01,47.12
-36.65,-535.62,-162.58,7.0
-27.9,-545.85,-113.65,18.81
-3.47,-437.36,12.15,26.02
1.29,-441.73,-219.2,-26.45
-34.95,-574.53,-109.11,11.22
-12.6,-400.29,-101.66,26.25
-19.26,-501.7,-102.53,11.93
-22.77,-542.35,-130.62,-23.47
-26.37,-507.38,-99.75,43.92
-11.24,-471.24,10.33,12.5
-22.74,-465.75,-122.41,26.33
-21.38,-472.56,-138.51,16.59
3.57,-407.75,-21.2,-26.5
-20.02,-477.68,-90.6,20.24
-42.79,-524.95,-181.26,13.82
-56.39,-478.14,-110.84,1.08
-32.01,-453.19,-81.38,31.33
-9.02,-539.08,-63.74,21.88
-27.48,-539.82,54.25,6.28
7.74,-428.02,-248.97,4.46
-17.71,-451.39,-149.18,-24.23
-37.26,-437.62,-98.92,17.32
13.36,-420.62,-55.31,3.47
-27.39,-564.75,-207.35,-15.72
-26.78,-484.14,-73.76,-31.76
-33.96,-540.81,-82.65,34.31
-20.38,-510.9,-130.9,-13.28
-33.4,-561.52,-83.42,33.36
-20.67,-483.62,-122.79,26.38
-2.7,-434.56,-106.67,10.58
-13.15,-441.09,-58.18,10.43
-10.99,-430.72,-93.93,-3.35
-24.15,-521.38,-118.43,-14.48
-2.95,-437.31,31.48,49.9
-23.52,-390.19,-214.28,-13.21
-47.04,-579.3,-103.13,-7.09
-16.1,-542.39,-22.84,16.12
5.4,-515.34,-116.33,36.37
-28.47,-508.02,-122.19,12.88
-12.1,-454.21,-114.34,-10.49
-16.88,-419.77,-71.46,18.76
-25.42,-446.83,-38.92,-12.57
-35.96,-497.62,-176.88,34.05
-11.05,-496.94,-124.67,3.96
-31.63,-490.32,-118.12,25.64
-19.2,-404.75,-129.57,7.26
23.29,-349.58,-124.26,-13.74
1.44,-503.33,-29.02,-11.05
