ch1,ch2,ch3,ch4
1.73,-506.35,274.71,55.74
-22.38,-455.62,-503.14,-24.85
-23.73,-481.95,-24.81,4.93
-4.17,-483.14,0.18,66.64
-52.55,-539.2,-142.97,2.95
-22.12,-446.82,-130.65,8.08
2.53,-438.45,93.76,15.82
12.69,-462.34,-15.93,35.82
-10.27,-512.36,-282.97,-119.97
-55.78,-543.34,-231.1,27.13
-40.34,-540.36,-199.3,-21.38
-27.92,-472.37,-153.69,-5.77
2.94,-294.04,-125.19,110.75
9.13,-348.45,-47.84,32.51
-50.12,-556.5,-198.96,-1.16
-22.32,-552.57,-47.1,-22.87
-10.22,-490.18,186.56,89.29
-22.76,-508.37,-273.75,-34.36
-28.42,-479.14,-145.49,7.33
-14.52,-428.84,-38.32,-15.03
-18.06,-463.54,-177.66,92.7
-34.3,-556.05,-70.78,-0.86
-24.18,-487.65,-128.49,69.05
-23.07,-472.45,55.44,76.06
-21.72,-502.18,89.76,-5.62
-16.88,-443.35,-299.76,-37.09
-24.35,-454.33,-192.87,-42.14
-19.08,-473.59,-127.56,67.9
-11.26,-458.86,-50.24,12.97
-23.97,-421.36,-143.95,47.94
-40.78,-473.3,-125.59,13.88
-47.64,-595.01,-171.18,52.4
14.21,-374.21,86.12,-4.24
-19.8,-491.92,95.63,91.64
-34.27,-502.89,-320.21,-40.06
-10.62,-435.18,-139.95,105.61
-24.63,-476.61,-86.74,-2.43
-24.78,-465.04,-107.43,3.23
-6.57,-523.92,-84.56,6.66
-34.43,-466.65,-244.22,-22.98
-14.38,-446.52,-36.38,21.5
-27.7,-468.56,-25.86,100.94
-4.22,-472.94,-181.19,13.75
-13.79,-501.03,-78.84,32.47
-30.14,-421.99,-121.88,-18.48
-17.32,-466.93,-102.59,26.21
-25.27,-498.48,-79.34,28.32
-38.05,-510.69,-3.51,77.55
-22.39,-515.18,-145.88,-93.51
-6.12,-414.11,-120.25,94.63
