ch1,ch2,ch3,ch4
-31.55,-485.39,-102.32,8.64
-23.96,-473.34,-84.98,-27.45
8.72,-459.47,54.96,146.08
-9.32,-481.66,-375.33,-72.71
-31.56,-468.34,-146.73,-67.93
-22.74,-465.27,-116.87,39.76
-19.71,-469.89,116.56,38.2
0.6,-454.74,-185.51,4.72
-14.22,-488.07,-6.94,137.65
-36.28,-517.53,-246.91,-25.74
-23.68,-442.93,-155.43,-9.39
-22.42,-441.08,-107.54,61.36
-22.99,-474.49,-121.86,20.34
-29.77,-486.45,-108.59,21.75
-11.7,-471.68,-44.04,23.93
-41.09,-506.76,-167.76,60.2
-10.54,-457.74,-110.36,21.74
-29.21,-495.84,-76.19,35.94
-17.89,-482.21,-111.32,19.52
-15.37,-475.05,-29.64,17.87
-7.66,-434.2,-200.7,-25.8
-2.92,-495.48,-76.24,53.44
-35.29,-493.45,-167.34,-51.73
-17.32,-456.68,-132.6,18.82
-28.67,-471.24,-80.73,35.2
-21.17,-470.91,-83.18,31.77
-17.86,-465.59,-98.76,142.05
-23.53,-453.8,-100.6,-115.09
-9.37,-446.18,-51.6,62.37
-31.84,-479.36,-243.78,-8.23
-24.13,-480.49,-142.02,-29.07
-19.7,-464.15,-104.62,40.23
-17.11,-468.47,-46.2,82.81
-22.98,-469.92,-179.79,-15.03
-22.77,-469.09,-97.79,27.79
-27.18,-487.29,-84.64,33.97
-12.25,-463.83,0.45,60.21
-14.23,-469.19,-54.6,21.2
-5.62,-491.49,-135.92,-2.37
-30.77,-499.65,-167.51,15.4
-25.31,-504.45,-145.07,-2.1
-20.74,-529.97,-101.03,-14.7
2.43,-429.51,72.98,32.18
-18.25,-448.63,-244.81,8.68
-32.79,-493.57,-138.12,-6.3
-10.86,-468.36,-68.09,24.06
-19.06,-453.85,-119.61,48.64
-28.29,-500.91,-78.28,11.43
-21.96,-483.51,-111.68,29.44
-4.07,-459.09,-62.45,15.61
