ch1,ch2,ch3,ch4
-17.36,-457.94,-102.32,33.52
-48.28,-399.03,-103.21,31.18
49.31,-288.07,-116.49,22.68
-18.41,-555.87,-109.47,43.9
2.99,-445.69,-103.44,39.47
-43.48,-556.27,-101.15,45.5
-45.83,-528.23,-110.64,34.41
-63.03,-408.68,-106.96,22.79
-107.18,-487.06,-114.98,8.13
101.8,-265.0,-94.18,48.41
30.2,-545.91,-99.3,38.97
-25.9,-471.63,-101.8,29.0
-9.36,-465.29,-99.03,33.19
6.56,-511.77,-104.27,22.06
-147.17,-634.96,-107.19,19.54
58.01,-324.12,-98.76,40.09
11.87,-391.33,-105.4,23.68
-12.5,-270.74,-111.21,18.42
-53.78,-555.95,-97.63,45.48
-104.17,-623.99,-109.81,27.58
31.76,-382.74,-107.79,35.44
-22.01,-501.17,-98.58,31.68
4.59,-210.81,-124.42,0.71
44.78,-346.45,-112.28,29.29
-35.97,-580.51,-93.24,55.19
-76.44,-650.31,-102.66,46.02
-15.31,-633.78,-104.64,25.69
8.37,-403.15,-108.42,35.24
-81.6,-435.79,-102.0,39.14
8.65,-549.55,-104.82,22.71
-114.84,-376.55,-104.18,32.91
49.85,-298.1,-108.92,31.87
50.92,-217.3,-110.99,30.73
-27.68,-652.94,-108.23,33.41
-22.23,-659.62,-112.52,29.5
26.71,-395.6,-107.15,34.92
-59.36,-520.4,-118.09,17.45
-54.97,-476.07,-94.64,30.1
37.99,-318.54,-107.69,20.64
-32.54,-447.1,-103.61,37.85
-49.65,-497.99,-101.75,36.35
-44.34,-520.44,-102.22,23.79
-8.56,-388.88,-136.44,-0.4
18.96,-562.06,-100.03,47.3
1.24,-472.85,-94.1,51.63
-95.27,-545.37,-104.06,34.0
75.11,-286.03,-121.75,7.04
25.77,-526.11,-89.2,48.63
-43.28,-369.1,-104.63,28.61
-69.77,-525.25,-111.53,17.31
