ch1,ch2,ch3,ch4
-52.21,108.09,37.6,14.7
21.6,-49.28,39.28,5.88
17.84,-29.19,22.77,-9.17
-98.59,-5.81,37.89,6.77
-55.26,-8.02,36.27,12.0
144.4,-27.57,34.08,7.09
-49.65,1.33,31.71,-1.02
-33.41,51.86,33.5,1.6
-18.38,46.51,36.45,6.94
-48.09,9.69,35.88,5.64
-38.14,-36.08,39.03,9.36
-69.58,28.43,40.55,6.92
-51.61,-16.14,35.68,8.6
89.64,-27.06,37.75,4.88
46.14,49.96,29.28,3.41
-0.67,46.37,35.24,8.94
-257.02,-116.71,33.14,1.25
167.06,53.35,26.26,-1.21
-63.51,92.87,38.8,11.93
4.82,45.08,45.91,22.1
91.98,-48.95,22.08,-8.78
-83.48,-31.85,34.39,6.85
9.61,37.38,37.33,10.8
11.33,-4.11,40.35,8.57
3.58,-94.94,28.48,-5.7
-124.45,9.45,31.97,4.48
-45.99,57.08,39.48,11.25
27.31,-35.77,27.6,-2.16
35.36,145.74,34.39,8.84
-9.91,-83.18,29.45,1.18
13.07,16.73,30.47,3.13
-12.25,-51.47,35.83,7.77
-88.7,20.98,37.79,12.93
16.31,120.04,32.04,13.53
-14.3,-112.61,27.87,3.04
12.18,-25.14,27.81,-2.02
27.39,-3.84,32.48,0.81
-103.12,5.31,26.64,4.23
-10.99,15.11,36.95,12.44
-19.93,48.1,32.74,11.89
15.76,-20.36,32.94,5.09
14.57,96.05,40.23,18.83
-93.36,-111.7,34.46,3.72
-22.22,92.32,35.21,9.31
25.05,-9.63,28.75,-1.47
41.92,-60.74,31.58,2.34
3.19,-38.69,34.81,9.43
-69.5,56.94,29.39,1.85
-18.15,57.48,33.6,6.01
30.23,-46.68,41.88,14.79
