ch1,ch2,ch3,ch4
-121.43,-459.03,-107.27,9.92
97.33,-445.33,-111.1,23.09
-34.32,-487.39,-96.11,32.86
-101.09,-582.55,-113.18,7.01
-10.52,-24.73,-112.79,0.08
111.87,-521.74,-110.19,14.1
-64.72,-657.74,-87.04,47.1
-81.05,-595.59,-111.56,14.32
44.5,-475.23,-104.76,22.19
-16.53,-437.49,-93.62,36.45
-23.91,-487.21,-112.47,29.96
3.57,-508.27,-101.14,25.28
-20.8,-483.64,-106.51,23.41
-18.99,-384.55,-107.96,19.2
-5.54,-396.0,-109.92,21.59
26.76,-460.48,-112.26,23.27
-23.36,-602.36,-103.89,29.51
-64.06,-568.72,-112.1,15.72
-117.53,-513.41,-113.98,18.96
-5.19,-419.64,-96.43,35.63
-18.35,-495.6,-113.14,17.4
-74.31,-445.21,-121.36,8.44
150.99,-219.98,-104.43,34.82
-102.54,-625.84,-98.28,42.17
-1.37,-518.07,-108.42,16.32
16.03,-484.42,-91.49,35.05
-9.13,-534.1,-104.35,29.09
-70.8,-535.49,-99.69,29.73
59.42,-236.81,-113.08,19.82
-33.3,-561.7,-94.83,47.36
-76.18,-496.15,-97.53,26.68
34.27,-397.13,-118.5,14.33
-88.85,-545.86,-104.33,31.0
64.36,-528.92,-100.66,24.61
-29.6,-528.01,-105.2,25.72
14.78,-477.13,-107.24,27.45
-39.53,-436.61,-106.7,20.6
-77.78,-538.5,-115.82,9.07
-14.71,-330.33,-104.97,34.4
27.19,-546.34,-100.55,32.72
-17.08,-264.21,-101.33,17.11
-59.08,-628.6,-110.62,11.71
-207.61,-631.41,-99.8,26.28
194.66,-436.7,-111.93,18.95
-50.91,-463.61,-99.28,36.0
37.45,-382.0,-103.08,30.07
-5.03,-597.5,-105.82,27.2
-94.82,-477.35,-97.97,37.98
-41.12,-356.7,-111.14,20.45
-39.84,-475.18,-101.96,38.03
