ch1,ch2,ch3,ch4
-1264.36,220.06,-95.3,25.3
-822.75,549.93,-102.49,2.15
109.08,-463.27,-87.24,34.13
15.21,-497.5,-95.0,19.96
-68.92,-528.98,-88.14,31.18
-8.24,-509.84,-95.48,13.18
61.13,-532.28,-100.0,20.33
-237.08,-441.72,-98.51,10.18
8.19,-448.51,-111.81,-21.69
127.63,97.7,-96.49,-2.99
-46.43,-762.85,-76.6,36.63
-363.23,-492.8,-66.33,49.99
216.06,-652.99,-98.69,26.13
-21.33,-533.71,-101.74,6.17
47.03,-520.81,-100.82,13.47
3.78,-511.44,-96.15,25.41
-23.86,-565.21,-96.25,21.49
-186.79,-531.61,-94.35,21.78
47.5,-451.48,-101.93,19.62
-181.08,-350.5,-96.89,10.82
52.32,-469.48,-105.36,-0.5
39.06,-526.08,-111.18,0.82
103.27,-284.39,-95.43,23.9
-79.54,-663.53,-91.93,25.13
-26.0,-522.31,-93.14,35.94
-27.63,-435.98,-103.53,0.03
-59.11,-453.96,-89.97,15.8
-39.7,-612.62,-95.69,20.81
-30.29,-104.46,-98.93,11.2
56.22,-712.36,-116.14,14.97
-7.16,-436.01,-88.54,44.25
-40.89,-545.03,-88.9,32.91
-207.14,-452.27,-90.6,24.96
166.0,-511.46,-107.01,15.15
-163.6,-350.28,-100.1,4.2
106.6,-520.7,-110.95,5.38
18.57,-590.41,-98.69,31.21
-103.23,-537.6,-99.5,32.41
-107.46,-139.41,-94.39,19.24
-88.03,-584.82,-101.69,26.95
84.46,-656.22,-117.83,2.44
-48.26,-413.31,-84.54,43.84
-55.52,-513.0,-90.83,21.32
15.69,-489.79,-100.91,23.92
-165.26,-203.03,-98.63,6.04
175.0,-598.2,-89.28,44.79
6.73,-584.76,-92.1,27.4
-52.29,-517.82,-94.17,22.99
-104.4,-354.09,-98.86,-6.8
115.08,-456.29,-98.91,23.57
